"";"y";"x"
"1";1;0,349382467102259
"2";2;0,654345193179324
"3";3;0,761332308640704
"4";4;0,167091298848391
"5";5;0,869574321433902
"6";6;0,902274431660771
"7";7;0,489267049822956
"8";8;0,672304002335295
"9";9;0,400231400039047
"10";10;0,110079283127561
"11";11;0,154522968223318
"12";12;0,697364093968645
"13";13;0,226533537032083
"14";14;0,0925012966617942
"15";15;0,747374701779336
"16";16;0,516072310041636
"17";17;0,0297856528777629
"18";18;0,511752325110137
"19";19;0,77917203004472
"20";20;0,511493523372337
"21";21;0,562207703245804
"22";22;0,397619332419708
"23";23;0,438346819253638
"24";24;0,0762521948199719
"25";25;0,743210208136588
"26";26;0,573943480150774
"27";27;0,963292856002226
"28";28;0,945124769583344
"29";29;0,410405916627496
"30";30;0,58861265424639
"31";31;0,453421694226563
"32";32;0,712924273917452
"33";33;0,967174901394174
"34";34;0,283713529119268
"35";35;0,751101423287764
"36";36;0,0706032528541982
"37";37;0,086188196670264
"38";38;0,393112462246791
"39";39;0,724246217403561
"40";40;0,448244528146461
"41";41;0,00778200128115714
"42";42;0,070841638604179
"43";43;0,0938483609352261
"44";44;0,000432708999142051
"45";45;0,603202608879656
"46";46;0,962494622915983
"47";47;0,617503338726237
"48";48;0,0278921718709171
"49";49;0,919051906559616
"50";50;0,812645960133523
"51";51;0,603529984131455
"52";52;0,700442754896358
"53";53;0,773574101505801
"54";54;0,57531809178181
"55";55;0,878450296586379
"56";56;0,625678173033521
"57";57;0,28746172087267
"58";58;0,440127318259329
"59";59;0,446200155420229
"60";60;0,934189225779846
"61";61;0,349627433577552
"62";62;0,541651891311631
"63";63;0,519871611148119
"64";64;0,81841733190231
"65";65;0,0523107585031539
"66";66;0,735497692134231
"67";67;0,287275148322806
"68";68;0,995459837606177
"69";69;0,791036288719624
"70";70;0,473389098420739
"71";71;0,141169269103557
"72";72;0,420542647130787
"73";73;0,570472992258146
"74";74;0,764928742079064
"75";75;0,838430578354746
"76";76;0,112734220456332
"77";77;0,476761328754947
"78";78;0,959374745376408
"79";79;0,392841407796368
"80";80;0,269490404753014
"81";81;0,252366624772549
"82";82;0,316730615450069
"83";83;0,838121077278629
"84";84;0,886396776186302
"85";85;0,843264407012612
"86";86;0,342893244931474
"87";87;0,0303859820123762
"88";88;0,622100211447105
"89";89;0,686609325464815
"90";90;0,863850034074858
"91";91;0,556435314705595
"92";92;0,979062830563635
"93";93;0,293868561042473
"94";94;0,0815957703161985
"95";95;0,952745127025992
"96";96;0,995949619449675
"97";97;0,994770898949355
"98";98;0,850450533907861
"99";99;0,27017107931897
"100";100;0,181146187242121
